"amo","Amos","amos is originally a hebrew name meaning strong, carried, and brave, and is a popular name among the germans. amos is often a truck driving, gun shooting, country boy. he's got a good heart and a great smile and is a joy to be around. he is a guarded man but once you break through his walls he will love you well.

some characteristics of an amos:

1. he has a german accent 2. he has a cute smile and bright eyes 3. he has a kind heart 4. he cares about his family 5. he's a good kisser 6. he's got a great ass 7. he's a good dancer 8. he loves country music 9. he will always keep you laughing 10. he's a smart ass"
"amy","Amy","an amazing girl who can be seen as perfect in all ways, even though she'll never admit it. she is very beautiful, but remains in denial about her looks, even though she looks amazing even at the worst of times. she has an amazing personality(which matches her body in beauty) and is instantly appealing, giving great frist impression to others. she has lots of friends, and inspires them all with edgy and loveable spark which keeps them close for a lifetime. not to mention it's always interesting to talk to her with just about anything and everything! a talk with amy can brighten anyones mood, and leave them feeling very happy (except only when they have to stop and go to bed). she has a great love of food (especially bagels) and sense of humour and often makes up her own crazy words, which only makes you love her more! a day with amy is never wasted, and when you experience this you realise that nothing else can ever be as fulfilling. from the point you meet and fall in love with her you realise you want to be with her for the rest of your life, and not a single experience is ever regretted."
"and","And","to basicly say ""so what?"". when you say and you really juss askin why someone is all in ya bi. *and is said in a smart way."
"ane","Anet","the name of one of the sexiest women on the planet. this woman oozes sex appeal. men and woman fantasise about her. she walks with selfconfidence. she is extremely intelligent but very humble. she is a generous lover and extremely good in bed. she loves with her whole heart and is almost always in a commited relationship. she also needs a lot of love in return. she is extremely loyal to friends and family and expects the same from them."
"ang","Ange","(pronounced anj or ange) short for angela but cooler! an ang is very caring and generally a happy person. she likes to laugh and have friends around. she is quick-witted and often popular but doesn't take any shit from people, although tends to disguise this as sarcasm or 'joking'. ang's are talented and expressive. they make good mediators, teachers, counselors and nurses."
"ank","Anks'","1. one word response to most compliments, or used whenever deamed nessecary. 2. short for 'thanks'."
"ann","Aning","a name meaning grace in hebrew, the name of the blessed mother of mary who gave birth to jesus, a common name amongst royalty and the sickest bitch who owns all the boys on the block.  often the bearer of the name copes with the burden of extensive beauty and valor, and gracefully imbibes the pleasures of money, sex, music and drugs."
"anu","Anus","a hole used primarily for the dispensing of fecal matter.  sometimes the insertion of oblongated objects such as various fruits, vegetables, broomsticks, fingers, penises, etc. are allowed entrance into this sacred area.  the size of the anus can vary depending on the size of fecal matter dispersement, as well as what types of objects are inserted into this area.  the anus is also known as the asshole, butthole, chocolate starfish, brown eyed willy and has many other slang terms for it."
"anx","Anx","possibly one of the greatest trolls to ever post on the rsbot forums. anx was banned for almost a whole month from trolling and whatnot, then a week later he gains moderator status. he continued to troll, most didn't even know he was, until he resigned from mod. he did some more trolling and helped remove some fucked up staff members. he than regained moderator status and once again resigned because he realized the admins are a bunch of fucking pedos who don't do shit. so, anx has helped remove many faggots from the forum: francisco, gotcha, toast, etc."
"anz","Anz","pronounce short an and long zzzz

an anz is a redhead with a beard and often pukes anz comes from ant because they look like redfire ants

they usually run in fights"
"aoh","Aoohh","a sound that can be made or used at any time. can also be used with as many letters as necessary (aoh, aoohh, aaaaoooohh). usually a sound of distress. pronounced literally as read, like a lighter version of ""ow""."
"aol","Aol","now aol is trying to control the music download business with a new service called ""musicnet@aol"". it's bad enough that aol censors content and keeps track of what you see, now aol wants to keep track of what you hear.   any song downloaded from the aol musicnet service contains drm (digital rights management) software code embedded in it. drm is used so aol and the riaa can identify which aol member is downloading which songs. if you don't believe aol and the riaa keep track of what you are doing online, you are a n00b. you obviously haven't read your aol user agreement.  aol sucks. boycott aol!"
"aoz","Ao'Z","the ao'z are the creators of the word 'ao!' or 'ayo'. they are a brooklyn club. no street teams, nada. they are full out on their own, not to be messed with. members include sofia, margaret, aly and chaz."
"apz","Ap-Z","ap-z:a derogatory remark for a drugged out asian, particularly at raves"
"aqa","Aqa","uk examination board. it is responsible for 99% of children's hopes and dreams being shattered to pieces. if you're being examined by aqa, you'll fucking know it. aqa will hunt you down, and destroy what little hope you had for your school life. in short, the world would be a better place without this insane, demoralising, and painfully dull examining board."
"ard","Ard'","to be hard. 'well hard' tough, strong minded, physically strong e.t.c"
"are","Ares","ares (mars) is the son of zeus."
"arm","Armz","1.to be considered mean..something that happens that's not right 2.armz howse iz somthing that is really mean.."
"arr","Arrr","variants: arrr, argh, ahaaaarr, yargh.  most often used by [pirate]s, this is a word that can essentially mean anything. usually a response in the affirmative, or general exclamation."
"art","Art","once when asked what trans-siberian orchestra was about, paul o'neill replied, ""it's about creating great art. when asked to define what great art was, paul said, ""the purpose of art is to create an emotional response in the person that is exposed to that art. and there are three categories of art; bad art, good art and great art. bad art will elicit no emotional response in the person that is exposed to it, i.e.; a song you hear in an elevator and it does nothing to you, a picture on a wall that gives you the same emotional response as if the wall had been blank, a movie that chews up time. good art will make you feel an emotion that you have felt before; you see a picture of a forest and you remember the last time you went fishing with your dad, you hear a song about love and you remember the last time you were in love. great art will make you feel an emotion you have never felt before; seeing the pieta, the world famous sculpture by michelangelo, can cause someone to feel the pain of losing a child even if they've never had one. and when you're trying for these emotions the easiest one to trigger is anger. anyone can do it. go into the street, throw a rock at someone, you will make them angry. the emotions of love, empathy and laughter are much harder to trigger, but since they operate on a deeper level, they bring a much greater reward."
"arx","Arxed","1. to put a question to; inquire of: i arxed him but he didn't answer.   2. to request information about: to arx the way.   3. to try to get by using words; request: to arx advice; to arx a favor.   "
"ary","Angry","zodiac sign for people born between march 22 and april 19, although the days change a bit every year due to the stars or some crap.   aries people are known to be stubborn, fiesty, impatient, and forgiving. they have an inability to remain angry for long, can't show their feelings because they feel it makes them weak, and some are even violent.   are even better at hiding feels than the [capricorn], and aries rivals [taurus] and [virgo]."
"asd","Asd","asd is the sequence of 3 letters on keyboards of many countries (europe). in netgaming asd is often used as a spammy word that doesnt really mean nothing 8]"
"asf","As F","as f*ck"
"ash","Ash'S","main character in the american version of the anime, pokemon. i am guessing that ash's mother was smoking weed when she named him. when she tried to think of a name, she looked all around, and then looked at her joint, and then ash popped into mind.  anyway, ash is the main character in pokemon (except for a couple of japanese series) his dream is to become a ""pokemon master"", whatever that is, and ""catch 'em all."" how he will manage to catch all 493 pokemon, god only knows. but for now, his signature pokemon are pikachu, charizard, and squirtle. "
"asi","Asi","or asi asi means so so"
"aso","Also","shortened ""ah yes"" or ""ah i see"".  to understand and comprehend.  also used by stereotyped asians (like in james bond) before every sentence."
"asp","Aspis","vipera aspis. a venomous snake, a viper.  "
"ass","Ass","(_!_) = normal ass (__!__) = big ass (!) = tight ass (_?_) = dumb ass (_e=mc2_) = smart ass (_$_) = rich ass (_x_) = kiss my ass (_x_) = get off my ass "
"ata","Atas","in [singlish], atas means ""high class"" - the word is derived fromt he malay word meaning ""upstairs"""
"ate","Ative","tagalog (filipino) for older female relative or peer. pronounced a-teh. can be used preceding a name as a title or as a pronoun."
"auc","Auc","terrorist/paramilitary group in colombia.  a far-right group.  the acronym is for united self-defence forces of colombia.  the group's only reason for existence is to assassinate left-wing rebels and especially people suspected of sympathising with them or of struggling for social improvement.  this group murders thousands of peasants, trade union leaders, human rights activists, liberal and left-wing politicians, etc., every year.  they wear what they call ""the mask of the executioner"", but apart from that, they are mostly regular colombian soldiers and are effectively the dirty tricks wing of the colombian army which covers for the government and its us allies because they can disavow responsibility for auc atrocities.  the current president uribe is a close ally of auc and has hired them in the past."
"auf","Aufs","aufs. abbreviation for texting . [aufs]are you fucking serious. response to a comment or a response to a post that leaves the reader both amused and befuddled. response to comment or a post that you are surprised they actually put it out there like that."
"auh","Augh","noise made when something isnt funny enough to laugh but its still funny. its almost a laugh. first used by fitz, then jose and then coach and mailbox. auh!!!!!!"
"auk","Aukm","are you kidding?  also can add aukm; ""are you kidding me."""
"aul","Aul","a substitute for all.  used mostly when referring to a friend whose name is paul.  basically, instead of yelling paul really loud, you'd essentially just shout alllllll.  it's also fun to point out the use of aul swap in verbose interaction"
"aun","Aun'S","aun's are the best type of people. they can be weird and lame but their best friend still bares them. aun's are usually all rounders. they are cute too but their best friend doesn't tell them this too often to keep them on the line. they are a lot of fun and are special. they can be a loser too. but yeah overall they are nice."
"avi","Avis","a fantastic, fun to be with girl. she will look very pretty and will be super nice. she will be classy and not dress like a [whore] you have to work hard to make an avis be mad at you. random, fun to hang out with, and never cheats."
"avy","Avy","the choice car for ghosting (ghost riding the whip) around the yl streets. usually anyone who has ghosted in this scrapper knows the true meaning of hyphy, krunk, going dumb...etc. the avy is short for avalanche and they dominate other cars. ppl refer to the avy as a dumb yellow bus. avy's usually come w/ a sick sound system and are riddiculously dent proof. many ehs alums and students have gone dummy retarded on this ave. hoodies and breezys need to ghost more on the avy...cus the avy will slay drunk bitches...its in its dna. "
"awa","Away","scottish word meaning away."
"axa","Axa","a young girl/guy that judging from their current appearance, or the appearance of family memebers, will be very good looking in the future. this originates from the axa superanuation slogan ""axa, investment for the future"". the whole idea of an axa is to try and become freinds with them early so that you can bang then when they are at a reasonable age."
"axe","Axe","common stereotype of black vernacular is the pronunciation of the word ""ask"" as ""axe.""

""axe"" traces back to the 8th century. the pronunciation derives from the old english verb ""acsian."" at the time, the word appeared in two forms, ""ascian"" and ""acsian."" by the 10th century, the latter became ""axsian,"" which was shortened to ""ax"" (or ""axe""). it wasn't until the 17th century that ""ask"" became commonplace, eventually replacing ""axe"" in literary works. nonetheless, the pronunciation ""axe"" remained in dialects across the caribbean and the american south (including some sections of england). such usage was not dependent on race or class. although its written form fell out of usage in the 17th century, the dialectic use of ""axe"" has survived into the 21st century.

unfortunately, usage of ""axe"" has become a lightning rod for racist diatribes against african americans, often attributing its dialectic usage as a sign of being uncultivated and uncultured. references to ""axe"" being ""ghetto"" is nothing more than etymological ignorance, respectability politics and outright racism."
"axl","Axl","like him or not, axl rose is one interesting person and most often he is misunderstood. some people like to think of axl as an asshole, but that is just because axl likes to keep to himself and he likes his privacy. axl does not crave attention or look to make headlines, he does that with out even trying and sometimes i think that embarrasses him. i know a lot of gn’r fans get p!ssed off at axl because he has not been telling us his every move or what his plans are but i think that is a good thing. axl seems to get himself in trouble every time he tells us about a possible tour, a possible release date or anything else for that matter. when axl has told us about tentative tours or release dates and then those things fall through or dates pass by people bash him because they didn’t happen, that is why i think axl doesn’t want to say anything until he is 100% positive it is going to happen. that is why i don’t think will hear from axl until he knows the album is 100% done and the release date is set in stone. i don’t think axl likes to disappoint his fans and this is his best way of getting our hopes up for the release of this album. another thing fans need to keep in mind is that axl wants to make the best possible he can, and he does not care how long it takes, this album will be his legacy. this album will make or break his career since it is his first album with out the old band.   a lot of old gn’r fans like to think the new songs we have heard so far are not as good as the old bands songs, but that is not the important question. the important question is, are the new songs as good or better than the current mainstream songs on the radio today? and imo the answer to that is yes. i think madagascar, the blues and chinese democracy are just as good if not better than a lot of the music on the radio right now, and those songs are not even the “big guns” that axl has in store for us.   if axl does things correctly i think 2005 could be his year. he has a set of amazing players backing him up and they have all worked very hard on this album. the few people that have heard the album have all said how great or amazing the songs are, so i think if cd is promoted the way it should be it could be the best album of 2005. axl and his new gn’r could also be on top of the music world again. just look at a few years ago the mtv mva’s. they got a huge pop and people were going ape sh!t. the u.s. tour was not as bad as some naysayers would have you believe. the u.s. tour did pretty damn well considering there was almost no promotion for it and no new album in sight. just think of how the tour would do with the band having a hit single on the radio, the album being released, a possible video on mtv and proper promotion for the tour. i think it could be huge. all axl has to do is release the album and let it speak for itself. axl has to understand he can’t please everyone. yes axl will lose some of the old fans with the new band and new sound, but he will also pick up many more fans along the way. as bad as axl sounded back then he sounded better than the crappy live bands tonight on the vmas.  it is now time for axl to take his throne back as the best front man in rock, others have tried but none have even come close to having axl presence or aura. axl holds his own destiny and legacy in his own hands. he can either be the huge star he used to be or he can just disappear again. either way axl rose will always be one of music great mysteries. place."
"ayc","Aycs","aycs simply stands for ""as you can see"""
"ayh","Ayh'","'ayh' is... 'are you horny' many males use it in text asking the girl if she is horny"
"ayt","Ay To","short way to say alright"
"ayu","Ayumi","the nickname fans use for [ayumi hamasaki], a japanese singer."
"ayy","Ayy'","1. a gentle 'ayy' symbolises gratitude among friends, and is often used as a general greeting

2. a more agressive 'aaayyyyyyyy', is used to show anger amongst a close group of friends or family.

examples:"
"azn","Azn'S","asians (mainly from california) who shame their race by bleaching their hair blonde and trying to develop the personality of a 'ghetto' negro. ironically, these azn's do nerdy things such as hang out in arcades playing tekken and ddr, but they still uphold their 'ghetto' personna online in chat rooms and blogs/xanga accounts."
"azs","Azasu","azs is a form of saying ""arigatou"" in japanese slang. commonly used from people who text,twitter,blog or do anything else on the internet.(it's pronounced azasu)"
"azt","Azt","azt is a nucleoside reverse transcriptase inhibitor.  today, the customary dose is either 3 capsules twice a day or 2 capsules three times a day. there are several good reasons to adjust the usual dose -- make sure you go to a doctor who specializes in hiv disease.   azt is fairly easy to take, but a small percentage of people feel side-effects. the most dangerous is severe anemia, but that's fairly rare. other possible side effects include headache and muscle loss.   taking azt alone (called ""monotherapy"") can let hiv mutate into a strain that is resistant to the drug. today, azt is most commonly used with one or two other drugs.  "
"azz","Azzo","in italian chatting with the meaning of ""cazzo"", but less coarse."
"bab","Babs","babs = homegirl, the cool girl that chills and everyone likes. "
"bah","Bah","""bah"" is an onomatopoeic (read: [onomatopoeia]) word that is generally used to portray a sense of frustration.   the word ""bah"" differs from other popular internet shorthand such as ""lol"" because it is not an accronym, but rather a word that sounds like it is spelled."
"baj","Bajs","bajs is a swedish chocolate. normale used in cocking but can be eaten like candy aswell."
"bar","Bars","[xanax] bars, prescription pill, makes you feel drunk, tired, and all you can think bout is pussy."
"bat","Bats","a small pipe that only holds a tiny amount of marijuana, only enough for one hit, it's shaped like a ciggerette and is about as long as a ciggerette as well. most bats come with a dug-out as a set, and are usually stored inside the dug-out for convenience"
"baw","Baws","scottish slang. stems from english slang ""bollocks"" meaning testicles.  can also be used as a statement of disbelief.  ie.   person1 i got my hole last nite. person2 baws , you couldnae get       yer hole in a brothel."
"bax","Baxed","to hit the chronic verb:to get baxed adjective: he is soo baxed. "
"bay","Baby","short for baby something you love ta hear a nigga call u."
"bba","Babaa","an old hag; granny. bba is a shorthand for 婆あ or ""babaa""; it's essentially a pejorative of お婆さん or ""obaasan""."
"bbe","Babe","short term for babe usually used when texting, emailing or on msn"
"bbh","Bbhs","bbhs, (big butts horny sluts), is a gang from connecticut that has recently started up. lead by a man unknown to the world, for now, bbhs is rising to the top of the gang chain."
"bbk","Bbk-","bbk- boy better know

a term used for a group consiting of famous grime rappers : wiley, jme , skepta , frisco and maximum. it was first widley heard in the new hit single 'too many man'

'too many man' throughout describes the lack of females in a given situation, and how the given expierience would be enhanced if there were more females attending."
"bby","Baby","abbreviation for [baby].  is it really so hard to type one extra letter?"
"bch","Bitch","slang/short form of ""bitch""."
"bdh","Bdh","bdh is a crew based in south florida that has been known to attend local shows since the early 2000's. although they have a reputation of being ""aggressive"", they do not go around looking for fights. they simply just share a strong sense of loyalty and protectiveness over their bdh brethren. that being said, instigating a confrontation with any one of them would not be wise. they will not hesitate to get physical, so be weary.

one of their most notorious beatings ended in the victim having to be carried out on a trauma hawk helicopter, and in need of reconstructive surgery.. all charges were dropped.

bdh over the years has earned a nasty and well deserved reputation. some crimes they have committed have left physical and emotional scars for many. needless to say, bdh has suffered for those times when they ""took it too far"". although they do not regularly attend shows anymore, they are still very well known for their group antics and organized crime. they partake in late night robberies and on occasion, just destroying undeserving vehicles, property, or anything else at their fingertips. some members have turned away from the crime and now show their loyalty by graffiti. their graffiti tags virtually can be seen throughout the entire state of florida."
"bdj","Bdj","a bdj is someone who is big and dumb and jacks (copies) other people's homework.  the bdj will pretend that he/she just wants to check their answers - but further questioning will reveal they haven't even started yet."
"bdo","B.D.O","b.d.o. is normally refereing to a white female who prefers to only be with black guys. it stands for black-dick-only."
"bee","Bee","often mistaken for the common bumble bee but no the bee is no common creature.they are the loveliest, prettiest and one of the best friends you can ever have."
"bei","Beis","cool guy who can play with a girls heart. if you are called beis, everyone appreciates you. although your enemy will be named ryan, he does not like you. plus you are very rich."
"bek","Bekah","short for rebekah. reserved for only the coolest of rebekahs."
"beo","Beos","unlike [linux], beos was a real operating system which was stable, fast, and booted up within 20 seconds.  the os had fairly good hardware support, was easy to navigate, had programs that were easy to install, and had a good amount of multimedia tools.  it would have been a perfect alternative to [windows] had the beos executives decided not to try in vain to sue [microsoft] and ultimately bankrupt themselves."
"beq","B.E.Q","b.e.q. - stands for bloody, explosive queef. a queef while you're on your period, or just a really nasty one."
